Property,Value
System Uptime (Hours),193.77
Logged-in User,ryanarevalo
Hostname,Mac.lan
Operating System,Darwin
OS Version,Darwin Kernel Version 24.6.0: Mon Jul 14 11:30:51 PDT 2025; root:xnu-11417.140.69~1/RELEASE_ARM64_T8112
CPU Cores,8
RAM (GB),8.0
Total Disk (GB),228.27
Free Disk (GB),4.45
Timestamp,2026-06-05 20-43-38
IP Address,192.168.1.74
Report Type,Endpoint Inventory Report
